level,method,adjusted_mutual_info_score,reg_v_score
1,embeddings,0.2185704938884832,0.20287051619895252
1,louvain,0.2823538896957734,0.2627952280957867
1,lda,0.10826714317512226,0.10119306615383111
1,dbscan,0.08025890676895157,0.07197148246387632
2,embeddings,0.26133032289676206,0.29126591154838855
2,louvain,0.36536834112220495,0.39576123008465963
2,lda,0.1441596102474108,0.20106102229247017
2,dbscan,0.09790175001078194,0.1070725096763487
3,embeddings,0.29274997695197447,0.3326123380404591
3,louvain,0.39370705396819267,0.4367855711342556
3,lda,0.17799085455361205,0.2539239674321909
3,dbscan,0.10733119665768427,0.11597717233384217
